a			ʌ
mae			mejˈ
mae's			mejˈz
maeda			mejiˈdʌ
maeder			mɛˈdɜɹ
maekawa		mɑˌɪkɑˈwʌ
maelstrom		mejˈlstɹʌm
maenza			mɑɛˈnzʌ
maersk			mɛˈɹsk
maertens		mɛˈɹtʌnz
maertz			mɛˈɹts
maerz			mɛˈɹz
maes			mejˈz
maese			miˈs
maestas		mɛˈstʌz
maestra		majˈstɹʌ
maestri		mɑɛˈstɹi
maestro		majˈstɹow
maeve			mʌɛˈv
maez			majɛˈz
maffei			mæˈfaj
maffeo			mɑˈfiow
maffett		mæˈfɪt
maffia			mæˈfiʌ
maffucci		mɑfuˈtʃi
mafia			mɑˈfiʌ
mafia's		mɑˈfiʌz
mafias			mɑˈfiʌz
mafikeng		mɑˈfʌkɛŋ
mag			mæˈg
magadan		mæˈgʌdæˌn
magaji			mʌgɑˈdʒi
magallanes		mæˈgʌlejˌnz
magallon		mæˈgʌlɑn
magan			mejˈgʌn
magana			mɑgæˈnʌ
magar			mæˈgɜɹ
magarian		mʌgɛˈɹiʌn
magaw			mæˈgɔ
magazine		mæˈgʌziˌn
magazine's		mæˈgʌziˌnz
magaziner		mæˌgʌziˈnɜɹ
magaziner's		mæˌgʌziˈnɜɹz
magazines		mæˈgʌziˌnz
magazines'		mæˈgʌziˌnz
magby			mæˈgbi
magda			mæˈgdʌ
magdala		mɑgdɑˈlʌ
magdalen		mæˈgdʌlʌn
magdalena		mæˌgdʌliˈnʌ
magdalene		mæˈgdʌliˌn
magdaleno		mɑgdɑlejˈnow
magee			mʌgiˈ
magel			mæˈgʌl
magellan		mʌdʒɛˈlʌn
magellan's		mʌdʒɛˈlʌnz
magellanic		mæˌdʒʌlæˈnɪk
magenta		mʌdʒɛˈntʌ
mager			mæˈgɜɹ
mager(1)		mejˈgɜɹ
magerman		mæˈgɜɹmʌn
magers			mæˈgɜɹz
mages			mejˈdʒɪz
maggard		mæˈgɜɹd
maggart		mæˈgɜɹt
maggi			mæˈdʒi
maggie			mæˈgi
maggio			mɑˈdʒiow
maggot			mæˈgʌt
maggots		mæˈgʌts
maggs			mæˈgz
magi			mejˈdʒaj
magic			mæˈdʒɪk
magic's		mæˈdʒɪks
magical		mæˈdʒɪkʌl
magically		mæˈdʒɪkʌli
magically(1)		mæˈdʒɪkli
magician		mʌdʒɪˈʃʌn
magicians		mʌdʒɪˈʃʌnz
magid			mæˈdʒɪd
magie			mejˈdʒi
magiera		mɑdʒɪˈɹʌ
magill			mæˈdʒʌl
magin			mæˈdʒɪn
maginn			mæˈdʒɪn
maginnis		mæˈdʒɪnɪs
maginnis(1)		mʌgɪˈnɪs
maginot		mæˈdʒɪnɑ
maginot(1)		mæˈdʒɪnʌt
magistad		mæˈdʒɪstæˌd
magisterial		mæˌdʒɪstiˈɹiʌl
magistrate		mæˈdʒʌstɹejˌt
magistrate(1)		mæˈdʒɪstɹejˌt
magistrates		mæˈdʒɪstɹejˌts
magistro		mɑdʒiˈstɹow
maglaj			mɑˈglajˌ
maglaj(1)		mæˈglajˌ
maglaj's		mɑˈglajˌz
maglaj's(1)		mæˈglajˌz
maglev			mæˈglɛˌv
magley			mæˈgli
magli			mæˈgli
magliano		mɑgliɑˈnow
maglica		mæˈglɪkʌ
maglio			mæˈgliow
magliocco		mɑgliowˈkow
magliolo		mæˌgliowˈlow
maglione		mɑgliowˈni
maglis			mæˈgliz
magma			mæˈgmʌ
magma's		mæˈgmʌz
magna			mæˈgnʌ
magna's		mæˈgnʌz
magnan			mæˈgnʌn
magnani		mɑgnɑˈni
magnanimous		mægnæˈnʌmʌs
magnano		mɑgnɑˈnow
magnant		mæˈgnʌnt
magnate		mæˈgnʌt
magnate(1)		mæˈgnejˌt
magnates		mæˈgnejˌts
magnavox		mæˈgnʌvɑks
magner			mæˈgnɜɹ
magnesia		mægniˈʒʌ
magnesite		mæˈgnʌsajˌt
magnesium		mægniˈziʌm
magness		mʌgniˈs
magnet			mæˈgnʌt
magnet's		mæˈgnʌts
magnetek		mæˈgnɛtɛˌk
magneti		mægnɛˈti
magnetic		mægnɛˈtɪk
magnetically		mægnɛˈtɪkʌli
magnetically(1)	mægnɛˈtɪkli
magnetics		mægnɛˈtɪks
magnetism		mæˈgnʌtɪˌzʌm
magnetite		mæˈgnʌtajˌt
magnetization		mæˌgnʌtʌzejˈʃʌn
magnetized		mæˈgnɪtajˌzd
magnetometer		mæˌgnʌtɑˈmʌtɜɹ
magnetometers		mæˌgnʌtɑˈmʌtɜɹz
magnetron		mæˈgnʌtɹɑˌn
magnets		mæˈgnʌts
magnification		mæˌgnʌfʌkejˈʃʌn
magnifications		mæˌgnʌfʌkejˈʃʌnz
magnificent		mægnɪˈfʌsʌnt
magnificent(1)		mægnɪˈfɪsʌnt
magnificently		mægnɪˈfʌsʌntli
magnified		mæˈgnʌfajˌd
magnifier		mæˈgnʌfajˌɜɹ
magnifiers		mæˈgnʌfajˌɜɹz
magnifies		mæˈgnʌfajˌz
magnify		mæˈgnʌfajˌ
magnifying		mæˈgnʌfajˌɪŋ
magnin			mæˈgnɪn
magnitogorsk		mægnɪˈtʌgɔɹsk
magnitude		mæˈgnʌtuˌd
magnitudes		mæˈgnʌtuˌdz
magno			mæˈgnow
magnolia		mægnowˈljʌ
magnolias		mægnowˈljʌz
magnone		mɑgnowˈni
magnum			mæˈgnʌm
magnus			mæˈgnʌs
magnuson		mæˈgnʌsʌn
magnussen		mæˈgnʌsʌn
magnusson		mæˈgnʌsʌn
magoon			mʌguˈn
magouirk		mʌgwɜɹˈk
magowan		mɑgowˈwɑn
magpie			mæˈgpajˌ
magpies		mæˈgpajˌz
magrane		mæˈgɹejˌn
magrath		mʌgɹæˈθ
magri			mæˈgɹi
magrini		mɑgɹiˈni
magro			mæˈgɹow
magruder		mʌgɹuˈdɜɹ
mags			mæˈgz
magten			mæˈgtɛˈn
maguire		mʌgwajˈɹ
magwood		mæˈgwʊˌd
magyar			mæˈgjɑˌɹ
magyars		mæˈgjɑˌɹz
mah			mɑˈ
mahabharata		mɑhɑbɜɹɑˈtʌ
mahady			mʌhɑˈdi
mahaffey		mʌhæˈfi
mahaffy		mæˈhʌfi
mahal			mʌhɑˈl
mahala			mæˈhʌlʌ
mahalah		mæˈhʌlʌ
mahalia		mʌhæˈliʌ
mahamud		mʌhɑˈmʊˌd
mahan			mejˈʌn
mahaney		mʌhejˈni
mahannah		mʌhæˈnʌ
mahany			mæˈhʌni
mahar			mæˈhɜɹ
maharaja		mɑˌhɜɹɑˈʒʌˌ
maharaja's		mɑhɜɹɑˈʒʌˌz
maharajahs		mɑhɜɹɑˈdʒʌz
maharashtra		mɑˌhɜɹɑˈʃtɹʌˌ
mahariv		mɑˌhɑˈɹiv
maharive		mɑˌhʌɹiˈv
mahathir		mæˈhʌθɜɹ
mahathir(1)		mʌhæˈθɪˌɹ
mahathir(2)		mʌhɑˈθɪˌɹ
mahatma		mʌhɑˈtmʌ
mahayana		mɑˌhʌjɑˈnʌ
mahdi			mɑˈdi
mahe			mejˈhi
mahen			mejˈhɛˌn
mahen(1)		mejˈʌn
maher			mɑˈɹ
mahesh			mʌhɛˈʃ
maheu			mæˈhju
mahfouz		mɑfuˈz
mahfouz's		mɑfuˈzɪz
mahila			mʌhɪˈlʌ
mahin			mæˈhɪn
mahindra		mʌhɪˈndɹʌ
mahl			mɑˈl
mahle			mejˈhʌl
mahler			mɑˈlɜɹ
mahler's		mɑˈlɜɹz
mahlman		mɑˈlmʌn
mahlmann		mɑˈlmʌn
mahlon			mejˈlɔˌn
mahlstedt		mɑˈlstɪt
mahlum			mɑˈlʌm
mahmood		mæˈmud
mahmood(1)		mɑmuˈd
mahmoud		mæˈmud
mahmoud(1)		mɑmuˈd
mahmud			mæˈmud
mahmud(1)		mɑmuˈd
mahn			mæˈn
mahnke			mæˈŋk
mahnken		mɑˈŋkʌn
mahogany		mʌhɑˈgʌni
mahon			mejˈʌn
mahone			mæˈhʌn
mahoney		mʌhowˈni
mahony			mæˈhʌni
mahood			mɑˈhʊd
mahowald		mæˈhawɔld
mahr			mɑˈɹ
mahrt			mɑˈɹt
mahtan			mɑˈtɑˌn
mahtar			mɑˈtɜɹ
mahurin		mæˈhjɜɹɪn
mahvi			mɑˈvi
mahwah			mɑˈwʌ
mai			majˈ
maia			majˈʌ
maid			mejˈd
maid's			mejˈdz
maida			mejˈdʌ
maidel			mejˈdʌl
maiden			mejˈdʌn
maidenform		mejˈdʌnfɔˌɹm
maidens		mejˈdʌnz
maidie			mejˈdi
maids			mejˈdz
maids'			mejˈdz
maiello		majˌɛˈlow
maier			mejˈɜɹ
maiers			mejˈɜɹz
maietta		majɛˈtʌ
mail			mejˈl
mail's			mejˈlz
mailbag		mejˈlbæˌg
mailbags		mejˈlbæˌgz
mailbox		mejˈlbɑˌks
mailboxes		mejˈlbɑˌksɪz
maile			mejˈl
mailed			mejˈld
mailer			mejˈlɜɹ
mailer's		mejˈlɜɹz
mailers		mejˈlɜɹz
mailey			mejˈli
mailgram		mejˈlgɹæˌm
mailgrams		mejˈlgɹæˌmz
mailhot		majˈlhʌt
mailing		mejˈlɪŋ
mailings		mejˈlɪŋz
maillard		mɛlɑˈɹd
maille			mejˈl
maillet		mɛlɛˈt
mailloux		mɛluˈ
mailman		mejˈlmæˌn
mailmen		mejˈlmɛˌn
mailroom		mejˈlɹuˌm
mailrooms		mejˈlɹuˌmz
mails			mejˈlz
mailson		mejˈlsʌn
maim			mejˈm
maimed			mejˈmd
maiming		mejˈmɪŋ
maimone		mejˈmowˌn
maims			mejˈmz
main			mejˈn
maina			mejˈnʌ
mainard		mejˈnɜɹd
maine			mejˈn
maine's		mejˈnz
mainer			mejˈnɜɹ
mainers		mejˈnɜɹz
maines			mejˈnz
mainframe		mejˈnfɹejˌm
mainframes		mejˈnfɹejˌmz
mainichi		mɑˌɪniˈtʃi
mainland		mejˈnlæˌnd
mainland(1)		mejˈnlʌnd
mainlander		mejˈnlæˌndɜɹ
mainlanders		mejˈnlæˌndɜɹz
mainline		mejˈnlajˌn
mainly			mejˈnli
maino			mejˈnow
mainor			mejˈnɜɹ
mainord		mɛnɔˈɹd
mains			mejˈnz
mainstay		mejˈnstejˌ
mainstays		mejˈnstejˌz
mainstream		mejˈnstɹiˌm
mainstreaming		mejˈnstɹiˌmɪŋ
mainstreet		mejˈnstɹiˌt
maintain		mejntejˈn
maintained		mejntejˈnd
maintaining		mejntejˈnɪŋ
maintains		mejntejˈnz
maintenance		mejˈntʌnʌns
maintenance(1)		mejˈntnʌns
mainville		mejˈnvɪˌl
mainwaring		mejˈnwɛˌɹɪŋ
mainz			mejˈnz
maio			mejˈow
maiolo			majˈowlow
maione			majˈowni
maiorana		majɔɹæˈnʌ
maiorano		majˈɔɹɑnow
maiorino		majɔɹiˈnow
mair			mɛˈɹ
maire			mɛˈɹ
mairead		mejˈɹɛ
mairs			mɛˈɹz
mais			mejˈs
maisano		mʌsɑˈnow
maisch			majˈʃ
maisel			majˈsʌl
maish			mɑˈɪʃ
maisie			mejˈzi
maison			mejˈzʌn
maisonet		mɛˈsʌnɪt
maiti			mejˈti
maitland		mejˈtlʌnd
maitre			mejˈtɹʌ
maize			mejˈz
maize's		mejˈzʌz
maiziere		mejˈzɪˌɹ
maj			mæˈdʒ
majcher		mæˈdʒkɜɹ
majchrzak		majˈɹzʌk
majer			mejˈdʒɜɹ
majerus		mæˈdʒɜɹɪs
majeske		majɛˈski
majeski		majɛˈski
majesta		mɑjejˈstʌ
majestic		mʌdʒɛˈstɪk
majestically		mʌdʒɛˈstɪkʌli
majestically(1)	mʌdʒɛˈstɪkli
majesty		mæˈdʒʌsti
majesty's		mæˈdʒʌstiz
majette		mʌʒɛˈt
majeure		mʌdʒuˈɹ
majewski		majɛˈfski
majid			mʌdʒɪˈd
majik			mæˈdʒɪk
majka			majˈkʌ
majkowski		majkɔˈfski
majnoon		mæˌdʒnuˈn
majolica		mʌdʒɔˈlʌkʌ
major			mejˈdʒɜɹ
major's		mejˈdʒɜɹz
majorca		majɔˈɹkʌ
majordomo		mejˌdʒɜɹdowˈmow
majored		mejˈdʒɜɹd
majoring		mejˈdʒɜɹɪŋ
majoritarian		mæˌdʒɜɹɪtɛˈɹiʌn
majorities		mʌdʒɔˈɹɪtiz
majority		mʌdʒɔˈɹʌti
majority's		mʌdʒɔˈɹʌtiz
majoros		mɑjɔˈɹowz
majors			mejˈdʒɜɹz
majors'		mejˈdʒɜɹz
majrooh		mæˈdʒɹu
majure			mɑjʊˈɹej
mak			mæˈk
mak-kwan		mæˈkKwɑˈn
makar			mæˈkɜɹ
makara			mɑkɑˈɹʌ
makarewicz		mʌkɑˈɹɪvɪtʃ
make			mejˈk
makefield		mejˈkfild
makegood		mejˈkgʊˌd
makegoods		mejˈkgʊˌdz
makela			mæˈkɪlʌ
makeover		mæˈkowˌvɜɹ
makeovers		mæˈkowˌvɜɹz
makepeace		mæˈkpis
maker			mejˈkɜɹ
maker's		mejˈkɜɹz
makers			mejˈkɜɹz
makers'		mejˈkɜɹz
makes			mejˈks
makeshift		mejˈkʃɪˌft
makeup			mejˈkʌˌp
makhoul		mʌkuˈl
maki			mɑˈki
makin			mæˈkɪn
makin'			mejˈkɪn
makinen		mæˈkɪnʌn
making			mejˈkɪŋ
makings		mejˈkɪŋz
makinson		mæˈkɪnsʌn
makita			mʌkiˈtʌ
mako			mɑˈkow
makos			mejˈkowz
makoto			mʌkowˈtow
makowski		mʌkɔˈfski
makowsky		mʌkawˈski
makris			mæˈkɹɪs
makro			mæˈkɹow
maksoud		mæksuˈd
maksymuk		mæˈksimʊˌk
maktoum		mæktuˈm
maktoums		mæktuˈmz
makuch			mæˈkʌk
mal			mæˈl
mal's			mæˈlz
mala			mɑˈlʌ
malabre		mæˈlʌbɹʌ
malacanang		mʌlæˈkʌnæŋ
malacca		mʌlæˈkʌ
malachowski		mʌlʌhɔˈfski
maladich		mæˈlʌdɪk
maladich(1)		mæˈlʌdɪtʃ
maladies		mæˈlʌdiz
maladjusted		mæˌlʌdʒʌˈstɪd
maladroit		mæˌlʌdɹɔjˈt
malady			mæˈlʌdi
malaga			mæˈlʌgʌ
malagasy		mæˌlʌgæˈsi
malahide		mæˌlʌhajˈd
malaise		mælejˈz
malak			mæˈlʌk
malamud		mæˈlʌmʌd
malamugi		mæˈlʌmjuˌdʒi
malamute		mæˈlʌmjuˌt
malan			mejˈlʌn
maland			mæˈlʌnd
malaney		mʌlejˈni
malanga		mɑlɑˈŋgʌ
malanowski		mʌlʌnɔˈfski
malaprop		mæˈlʌpɹɑˌp
malara			mɑlɑˈɹʌ
malaria		mʌlɛˈɹiʌ
malarial		mʌlɛˈɹiʌl
malarkey		mʌlɑˈɹki
malary			mæˈlʌɹi
malaspina		mɑlɑspiˈnʌ
malatesta		mɑlɑtɛˈstʌ
malathion		mʌlæˈθiɔn
malathion(1)		mʌlæˈθiʌn
malave			mɑlɑˈvi
malawi			mʌlɑˈwi
malawi's		mʌlɑˈwiz
malay			mejˈlej
malayan		mʌlejˈʌn
malays			mʌlejˈz
malaysia		mʌlejˈʒʌ
malaysia's		mʌlejˈʒʌz
malaysian		mʌlejˈʒʌn
malaysians		mʌlejˈʒʌnz
malbon			mæˈlbʌn
malbrough		mæˈlbɹaw
malburg		mæˈlbɜɹg
malchow		mɑˈlhaw
malcolm		mæˈlkʌm
malcolm's		mæˈlkʌmz
malcolmson		mæˈlkʌmsʌn
malcom			mæˈlkʌm
malcomb		mæˈlkʌm
malcomson		mæˈlkʌmsʌn
malcontent		mæˌlkʌntɛˈnt
malcontents		mæˌlkʌntɛˈnts
malczewski		mʌltʃɛˈfski
malden			mɔˈldʌn
maldives		mɔˈldajˌvz
maldonado		mældʌnɑˈdow
maldutis		mɑlduˈtɪs
male			mejˈl
male's			mejˈlz
malec			mɑˈlɪk
malecha		mʌlɛˈtʃʌ
malecki		mʌlɛˈki
malefactor		mæˈlʌfæˌktɜɹ
malefactor(1)		mæˈlfæˌktɜɹ
malefactors		mæˈlʌfæˌktɜɹz
malefactors(1)		mæˈlfæˌktɜɹz
malek			mɑˈlɛk
malena			mæˈlɪnʌ
malenfant		mɑlejˈnfʌnt
maler			mejˈlɜɹ
malerba		mɑlɛˈɹbʌ
males			mejˈlz
maleski		mʌlɛˈski
malesky		mʌlɛˈski
malevolent		mʌlɛˈvʌlʌnt
maley			mejˈli
malfeasance		mæˌlfiˈzʌns
malfitano		mæˌlfɪtɑˈnow
malformation		mæˌlfɔɹmejˈʃʌn
malformations		mæˌlfɔɹmejˈʃʌnz
malformed		mæˌlfɔˈɹmd
malfunction		mælfʌˈŋkʃʌn
malfunctioned		mælfʌˈŋkʃʌnd
malfunctioning		mælfʌˈŋkʃʌnɪŋ
malfunctions		mælfʌˈŋkʃʌnz
malhotra		mæˌlhɑˈtɹʌ
mali			mɑˈli
malia			mɑˈliʌ
malibu			mæˈlʌbu
malice			mæˈlʌs
malice(1)		mæˈlɪs
malicious		mʌlɪˈʃʌs
maliciously		mʌlɪˈʃɪsli
malick			mæˈlɪk
malicki		mʌlɪˈki
malicoat		mæˈlɪkowˌt
malign			mʌlajˈn
malignancies		mʌlɪˈgnʌnsiz
malignancy		mʌlɪˈgnʌnsi
malignant		mʌlɪˈgnʌnt
maligned		mʌlajˈnd
malik			mæˈlɪk
malin			mæˈlɪn
malin(1)		mejˈlɪn
malina			mɑliˈnʌ
malinak		mæˈlɪnæˌk
malinda		mɑliˈndʌ
malinde		mæˈlɪnd
maline			mɑliˈni
malino			mʌliˈnow
malinoski		mʌlɪnawˈski
malinowski		mʌlɪnɔˈfski
malinski		mʌlɪˈnski
malis			mɑˈliz
maliszewski		mʌlɪʃɛˈfski
malizia		mʌlɪˈziʌ
malkiel		mɔˈlkiʌl
malkiewicz		mɑˈlkʌvɪtʃ
malkin			mæˈlkɪn
malkovich		mɔˈlkʌvɪtʃ
malkowski		mʌlkɔˈfski
mall			mɔˈl
mall's			mɔˈlz
mallard		mæˈlɜɹd
mallards		mæˈlɜɹdz
malle			mæˈl
malleability		mæˌliʌbɪˈlʌti
malleable		mæˈliʌbʌl
mallek			mæˈlɪk
mallen			mɔˈlʌn
maller			mɔˈlɜɹ
mallery		mæˈlɜɹi
mallet			mæˈlɪt
malleton		mæˈlʌtʌn
malleton's		mæˈlʌtʌnz
mallett		mæˈlɪt
mallette		mʌlɛˈt
malley			mæˈli
mallia			mɑˈliʌ
mallick		mæˈlɪk
mallicoat		mæˈlɪkowt
mallie			mɔˈli
mallightco		mæˌlajˈtkow
mallin			mæˈlɪn
mallinckrodt		mæˈlɪŋkɹɑˌt
mallinger		mɔˈlɪŋɜɹ
mallinson		mæˈlɪnsʌn
mallis			mæˈlɪs
mallison		mæˈlɪsʌn
mallo			mɑˈlow
malloch		mæˈlʌk
mallon			mæˈlʌn
mallonee		mælʌniˈ
mallory		mæˈlɜɹi
malloseismic		mɑˈlowsajˈzmɪk
mallow			mæˈlow
mallows		mæˈlowz
malloy			mʌlɔjˈ
mallozzi		mæˌlɑˈzi
mallrat		mɔˈlɹæt
mallrats		mɔˈlɹæts
malls			mɔˈlz
mally			mæˈli
malm			mɑˈm
malmberg		mɑˈlmbɜɹg
malmgren		mæˈlmgɹɛn
malmquist		mæˈlmkwɪst
malmstrom		mæˈlmstɹʌm
malnar			mæˈlnɜɹ
malnourish		mælnɜɹˈɪʃ
malnourished		mælnɜɹˈɪʃt
malnutrition		mæˌlnutɹɪˈʃʌn
malo			mɑˈlow
malon			mæˈlʌn
malone			mʌlowˈn
malone's		mʌlowˈnz
maloney		mʌlowˈni
maloof			mʌluˈf
malosovich		mʌlɔˈsʌvɪtʃ
malott			mʌlɑˈt
malouf			mæˈlowf
maloy			mæˈlɔj
malpass		mæˈlpʌs
malphrus		mæˈlfɹʌs
malpractice		mælpɹæˈktʌs
malpractice(1)		mælpɹæˈktɪs
malrite		mæˈlɹajˌt
malrite's		mæˈlɹajˌts
malsom			mæˈlsʌm
malson			mæˈlsʌn
malstrom		mæˈlstɹʌm
malt			mɔˈlt
malta			mɔˈltʌ
maltais		mʌltejˈ
maltase		mɔˈltejˌs
maltbie		mæˈltbi
maltby			mæˈltbi
malted			mɔˈltʌd
malter			mɔˈltɜɹ
maltese		mɔltiˈz
malting		mɔˈltɪŋ
maltose		mɔˈltows
maltreated		mæltɹiˈtɪd
maltreatment		mæltɹiˈtmʌnt
malts			mɔˈlts
maltz			mæˈlts
malueg			mæˈlʊg
maluken		mæˌluˈkɪn
maluso			mʌluˈsow
malva			mɑˈlvʌ
malval			mɑˈlvɑl
malveaux		mælvowˈ
malvern		mæˈlvɜɹn
malvie			mɔˈlvi
malvin			mæˈlvɪn
malvina		mɑlviˈnʌ
malvinas		mɔlviˈnʌs
malware		mæˈlwɛˌɹ
maly			mejˈli
malzahn		mæˈlzʌn
mam			mɑˈm
mam(1)			ɛˈmejˈɛˈm
mama			mɑˈmʌ
mama's			mɑˈmʌz
mamaroneck		mʌmɛˈɹʌnɛk
mamas			mɑˈmʌz
mamba			mɑˈmbʌ
mambas			mɑˈmbʌz
mambo			mɑˈmbow
mame			mejˈm
mameluke		mæˈmʌluˌk
mamet			mæˈmʌt
mamet's		mæˈmʌts
mamie			mejˈmi
mamis			mæˈmɪs
mamma			mɑˈmʌ
mammal			mæˈmʌl
mammalian		mʌmejˈliʌn
mammalian(1)		mʌmejˈljʌn
mammallike		mæˈmʌlLajˌk
mammals		mæˈmʌlz
mammary		mæˈmɜɹi
mammen			mæˈmʌn
mammogram		mæˈmowgɹæˌm
mammograms		mæˈmowgɹæˌmz
mammography		mʌmɑˈgɹʌfi
mammoth		mæˈmʌθ
mammoths		mæˈmʌθs
mamone			mʌmowˈn
mamsted		mæˈmstɛd
mamula			mæˈmjulʌ
man			mæˈn
man's			mæˈnz
mana			mɑˈnʌ
manac			mæˈnæk
manafort		mæˈnʌfɔɹt
manage			mæˈnʌdʒ
manage(1)		mæˈnɪdʒ
manageable		mæˈnɪdʒʌbʌl
managed		mæˈnʌdʒd
managed(1)		mæˈnɪdʒd
management		mæˈnʌdʒmʌnt
management(1)		mæˈnɪdʒmʌnt
management's		mæˈnɪdʒmʌnts
managements		mæˈnɪdʒmʌnts
managements'		mæˈnɪdʒmʌnts
manager		mæˈnʌdʒɜɹ
manager(1)		mæˈnɪdʒɜɹ
manager's		mæˈnɪdʒɜɹz
managerial		mæˌnɪdʒɪˈɹiʌl
managers		mæˈnʌdʒɜɹz
managers(1)		mæˈnɪdʒɜɹz
managers'		mæˈnʌdʒɜɹz
manages		mæˈnɪdʒɪz
managing		mæˈnʌdʒɪŋ
managua		mʌnɑˈgwʌ
managua's		mʌnɑˈgwʌz
manahan		mæˈnʌhæn
manak			mæˈnʌk
manalo			mɑnɑˈlow
manama			mæˈnʌmʌ
manard			mæˈnɜɹd
manas			mɑˈnʌz
manasco		mɑnɑˈskow
manasion		mæˌnʌʃʌn
manasion's		mæˌnʌʃʌnz
manassas		mʌnɑˈsʌs
manatee		mæˈnʌtiˌ
manatees		mæˈnʌtiˌz
manatt			mæˈnʌt
manbeck		mæˈnbɛˌk
mancala		mɑnkɑˈlʌ
mance			mæˈns
mancebo		mɑntʃɛˈbow
mancera		mænsɛˈɹʌ
mancha			mɑˈnkʌ
manchester		mæˈntʃɛˌstɜɹ
manchu			mæˈntʃu
manchuria		mæntʃʊˈɹiʌ
mancil			mæˈnsɪl
mancilla		mæˌnsɪˈlʌ
mancillas		mʌnsɪˈlʌz
mancinelli		mɑntʃinɛˈli
mancini		mɑntʃiˈni
mancino		mɑntʃiˈnow
manco			mæˈŋkow
mancusi		mɑnkuˈsi
mancuso		mæˌŋkjuˈsow
manda			mæˈndʌ
mandala		mɑˈdʌlʌ
mandalay		mæˈndʌlejˌ
mandalit		mæˈndʌlɪˌt
mandalite		mæˈndʌlajˌt
mandamus		mændejˈmʌs
mandarin		mæˈndɜɹʌn
mandarine		mændɜɹiˈn
mandarino		mɑndɑɹiˈnow
mandarins		mæˈndɜɹʌnz
mandate		mæˈndejˌt
mandated		mæˈndejˌtɪd
mandates		mæˈndejˌts
mandating		mæˈndejˌtɪŋ
mandato		mɑndɑˈtow
mandatory		mæˈndʌtɔˌɹi
mandel			mæˈndʌl
mandela		mæˌndɛˈlʌ
mandela's		mæˌndɛˈlʌz
mandelbaum		mæˈndʌlbawˌm
mandell		mæˈndʌl
mandella		mæˌndɛˈlʌ
mander			mæˈndɜɹ
manders		mæˈndɜɹz
manderscheid		mæˈndɜɹʃajˌd
manderson		mæˈndɜɹsʌn
mandeville		mæˈndʌvɪˌl
mandi			mæˈndi
mandible		mæˈndʌbʌl
mandible(1)		mæˈndɪbʌl
mandich		mæˈndɪk
mandie			mæˈndi
mandigo		mɑndiˈgow
mandl			mæˈndʌl
mandle			mæˈndʌl
mandler		mæˈndlɜɹ
mandolin		mæˈndʌlɪˌn
mandracchia		mæˌndɹæˈkiʌ
mandrake		mæˈndɹejˌk
mandrell		mæˈndɹʌl
mandresh		mændɹɛˈʃ
mandrill		mæˈndɹɪl
mandt			mæˈnt
mandujano		mɑndujɑˈnow
mandy			mæˈndi
mane			mejˈn
maned			mejˈnd
manella		mʌnɛˈlʌ
maner			mejˈnɜɹ
maners			mejˈnɜɹz
manes			mejˈnz
maness			mɑˈnɪs
manet			mænejˈ
manet(1)		mɑnejˈ
manette		mʌnɛˈt
maneuver		mʌnuˈvɜɹ
maneuverability	mʌnuˌvɜɹʌbɪˈlɪti
maneuverability(1)	mʌnuˌvɹʌbɪˈlɪti
maneuverable		mʌnuˈvɜɹʌbʌl
maneuvered		mʌnuˈvɜɹd
maneuvering		mʌnuˈvɜɹɪŋ
maneuverings		mʌnuˈvɜɹɪŋz
maneuvers		mʌnuˈvɜɹz
maneval		mɑnejvæˈl
maney			mejˈni
manford		mæˈnfɜɹd
manfra			mæˈnfɹʌ
manfre			mæˈnfɜɹ
manfred		mæˈnfɹɪd
manfredi		mɑnfɹɛˈdi
manfredo		mɑnfɹejˈdow
manfully		mæˈnfʌli
mang			mæˈŋ
manga			mæˈŋgʌ
mangan			mæˈŋgʌn
manganaro		mɑŋgɑnɑˈɹow
manganello		mɑŋgɑnɛˈlow
manganese		mæˈŋgʌniˌz
manganiello		mɑŋgɑniɛˈlow
mangano		mɑŋgɑˈnow
mangas			mæˈŋgʌz
mange			mejˈndʒ
mangel			mejˈŋgʌl
mangels		mejˈŋgʌlz
mangement		mejˈndʒmʌnt
mangen			mæˈŋʌn
manger			mejˈndʒɜɹ
manges			mejˈndʒɪz
mangham		mæˈŋgʌm
mangiapane		mæˈndʒiʌpejˌn
mangiaracina		mɑˈndʒɜɹɑtʃinʌ
mangieri		mɑŋgɪˈɹi
mangin			mæˈŋgɪn
mangine		mɑŋgiˈni
mangini		mɑŋgiˈni
mangino		mɑŋgiˈnow
mangione		mɑndʒowˈni
manglapus		mæˈŋlʌpʌs
mangle			mæˈŋgʌl
mangled		mæˈŋgʌld
mangles		mæˈŋgʌlz
mangling		mæˈŋgʌlɪŋ
mangling(1)		mæˈŋglɪŋ
mango			mæˈŋgow
mangoes		mæˈŋgowz
mangold		mæˈngowˌld
mangone		mɑŋgowˈni
mangope		mæŋgowˈpejˌ
mangosteen		mæˈŋgowstiˌn
mangosteens		mæˈŋgowstiˌnz
mangosuthu		mæˌŋgʌsʌˈθu
mangrove		mæˈngɹowˌv
mangrove(1)		mæˈŋgɹowˌv
mangrum		mæˈŋgɹʌm
mangual		mæˈngʌl
mangueira		mɑŋgɛˈɹʌ
mangum			mæˈŋgʌm
mangus			mæˈŋgɪs
mangy			mejˈndʒi
manhandle		mæˈnhæˌndʌl
manhandled		mæˈnhæˌndʌld
manhart		mæˈnhɑˌɹt
